real_name,din_pbias,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,NSE
0,-7.979419999999998,62677.3,111192.0,55795.8,46930.2,16779.6,8610.48,20313.3,68001.0,8571.87,0.440367756151986
1,1.42309,66542.7,124285.0,66780.1,49758.0,22130.4,11517.5,24177.9,66375.5,8060.51,0.3777921393193352
2,3.00048,72648.4,141558.0,59546.1,55721.9,23712.0,8964.1,19538.4,56684.0,8091.92,0.17525755323902314
3,10.1016,74545.0,143177.0,67747.5,56267.2,25969.7,11646.0,23966.7,64881.7,9045.04,0.10452175006656017
4,-19.7052,55376.7,99325.6,48141.7,41363.1,15554.5,7682.95,17154.1,56324.5,7122.1,0.47969667815433115
5,4.03105,69655.1,131394.0,67080.6,52280.6,22037.2,10523.9,23288.2,66704.9,7967.81,0.26257844772725125
6,-3.21588,64775.7,123545.0,60347.4,48572.6,23142.1,10822.6,21702.1,58432.9,8179.23,0.4734395191033093
7,-6.00413,61786.0,107379.0,55823.1,46584.3,18383.5,10186.7,22918.5,73515.4,10856.7,0.4696597380836993
8,14.5924,73967.2,136420.0,69059.2,56160.2,27111.3,14279.0,28632.6,78290.6,12790.5,0.1517475976608752
9,-4.09842,64191.8,118448.0,60040.0,48033.2,20657.9,10333.4,21757.3,63933.1,8299.46,0.46629316264599385
10,-3.73727,61767.0,116632.0,63490.4,46268.2,22615.6,11961.2,24055.7,62096.7,8372.87,0.515102950596025
11,4.96173,68897.6,123550.0,59219.2,53072.7,22599.8,11513.9,25390.9,77540.2,13181.9,0.36549714865206895
12,1.18824,69844.4,125604.0,64844.4,51303.3,18754.0,9236.0,21321.4,70504.5,7197.84,0.2553957451784693
13,8.92195,68792.3,124096.0,68645.5,52128.3,23643.2,13438.7,28543.4,80716.8,12127.5,0.27865835584287946
14,0.800195,64567.6,126211.0,62477.0,49967.5,25881.3,12139.8,24708.4,60615.9,10359.5,0.4916069015629392
